id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
110;Less than Perfect;en;01/10/2002;-;-;-
111;7 vidas;es;17/01/1999;Estudios Picasso;Mediaset España;-
112;The Armando Iannucci Shows;;12/12/2012;-;-;-
113;Moron Life;en;12/12/2012;-;-;-
114;Nathan Barley;en;11/02/2005;Talkback;-;-
115;A Different World;en;24/09/1987;Carsey-Werner Company;Bill Cosby;-
116;Titans;en;04/10/2000;NBC Studios;Spelling Television;-
117;The Dreamstone;en;25/09/1990;FilmFair;ITV Central;-
118;Just for Kicks;en;09/04/2006;-;-;-
119;Cory in the House;en;12/01/2007;It's a Laugh Productions;Warren & Rinsler Productions;-
120;Andy Capp;en;22/02/1988;-;-;-
121;Doctor Who;en;23/11/1963;BBC;-;-
122;Adam Adamant Lives!;en;23/06/1966;-;-;-
123;Starting Over;en;09/09/2003;-;-;-
124;Nationwide;en;09/09/1969;-;-;-
125;To the Manor Born;en;30/09/1979;-;-;-
126;Unsolved Mysteries;en;05/10/1988;Cosgrove/Meurer Productions;Lifetime;-
127;Boston Public;en;23/10/2000;David E. Kelley Productions;20th Century Fox Television;-
128;Pasadena;en;28/09/2001;Brad Grey Television;Columbia TriStar Television;-
129;Soccer Aid;en;22/05/2006;-;-;-
130;All Grown Up!;en;12/04/2003;Klasky-Csupo;Nickelodeon Animation Studio;-
131;Space Sentinels;en;10/09/1977;Filmation Associates;-;-
132;Fantastic Four: World's Greatest Heroes;en;02/09/2006;MoonScoop;Marvel Entertainment;-
133;Juliet Bravo;en;30/08/1980;BBC Studios;-;-
134;Space: 1999;en;04/09/1975;Group 3;RAI;ITC Entertainment
135;Food Fight;ja;01/07/2000;-;-;-
136;Thriller;en;14/03/1973;ITC Entertainment;-;-
137;W.I.T.C.H.;en;18/12/2004;Saban International;Disney Branded Television;-
138;Ink;en;21/10/1996;Shukovsky English Entertainment;Addis/Wechsler Television;DreamWorks Pictures
139;CNN Daybreak;en;12/12/2012;-;-;-
140;Martin Mystery;fr;23/10/2003;Marathon Media;-;-
141;Cheers;en;30/09/1982;Paramount Television Studios;Charles/Burrows/Charles Productions;-
142;Kay Susan Tayo;en;12/12/2012;-;-;-
143;Popetown;en;08/06/2005;BBC;CHX Productions;-
144;Head Cases;en;14/09/2005;-;-;-
145;Chris & John to the Rescue!;en;08/10/2006;-;-;-
147;Five-Minute Funnies;en;12/12/2012;-;-;-
148;Movin' On;en;08/05/1974;D'Antoni/Weitz Productions;-;-
149;The Journal Editorial Report;en;12/12/2012;-;-;-
150;This Life;en;18/03/1996;World Productions;BBC;-
151;Bosco Adventure;ja;06/10/1986;Nippon Animation;-;-
152;Maging Sino Ka Man;en;12/12/2012;-;-;-
153;Scarborough Country;en;12/12/2012;-;-;-
154;Good Times;en;08/02/1974;Norman Lear/Tandem Productions;Bud Yorkin Productions;CBS
155;3rd Rock from the Sun;en;09/01/1996;Carsey-Werner Company;-;-
156;The Beachcombers;en;01/10/1972;-;-;-
157;Gerhard Reinke's Wanderlust;en;08/03/2003;-;-;-
158;Port Charles;en;02/06/1997;-;-;-
159;Trailside;en;12/12/2012;-;-;-
160;Teenage Mutant Ninja Turtles;en;14/12/1987;I.D.D.H.;Murakami Wolf Swenson;Fred Wolf Films
162;Night Court;en;04/01/1984;Warner Bros. Television;Starry Night Productions;-
163;Can't Get a Date;;12/12/2012;-;-;-
164;Dark Skies;en;21/09/1996;-;-;-
